epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4032,1.87846,2.53977,1.90709,0.0067,0.16065,0.00788,0.00205,3.30973,34.2543,4.30258,0.00331707,0.00331707,0.0701463
2,87.8316,1.89203,2.32398,1.9511,0.26091,0.20741,0.04894,0.02254,1.99102,7.41125,2.37391,0.00664878,0.00664878,0.0401447
3,130.987,1.80755,2.12317,1.88487,0.65543,0.03093,0.03246,0.01315,2.33165,5.83291,2.65273,0.00997399,0.00997399,0.0101366
4,172.521,1.76096,2.03953,1.83903,0.37905,0.27657,0.18613,0.08643,1.68593,2.34892,1.98288,0.00997803,0.00997803,0.00997803
5,216.221,1.69488,1.95238,1.79376,0.35072,0.33524,0.20729,0.10355,1.71733,2.19272,2.02041,0.00996097,0.00996097,0.00996097
6,256.771,1.6482,1.85314,1.75115,0.36519,0.36622,0.22483,0.11438,1.63886,2.09594,1.90616,0.00993906,0.00993906,0.00993906
7,296.062,1.58555,1.76661,1.69736,0.58822,0.35629,0.21142,0.10861,1.55637,1.97818,1.83505,0.00991232,0.00991232,0.00991232
8,335.043,1.55461,1.71964,1.67198,0.43059,0.32643,0.23408,0.12102,1.52837,1.89619,1.84375,0.00988079,0.00988079,0.00988079
9,374.259,1.51658,1.69775,1.65807,0.16899,0.33429,0.2222,0.11835,1.55062,1.83441,1.87558,0.00984449,0.00984449,0.00984449
10,413.122,1.53828,1.71083,1.65657,0.17534,0.30411,0.23669,0.13122,1.50244,1.80289,1.78996,0.00980345,0.00980345,0.00980345
11,453.422,1.50224,1.62424,1.61576,0.55451,0.24778,0.26376,0.14376,1.48133,1.71831,1.7821,0.00975773,0.00975773,0.00975773
12,493.967,1.48434,1.61667,1.62649,0.5935,0.24206,0.23801,0.13576,1.37592,1.82794,1.69785,0.00970736,0.00970736,0.00970736
13,532.964,1.45863,1.56131,1.59476,0.56255,0.39427,0.2508,0.13875,1.48638,1.9607,1.76065,0.00965239,0.00965239,0.00965239
14,572.933,1.40084,1.50634,1.55139,0.40477,0.31613,0.24578,0.1363,1.43611,1.73394,1.72832,0.00959289,0.00959289,0.00959289
15,614.557,1.43815,1.55477,1.57554,0.27025,0.39093,0.28844,0.16376,1.32627,1.62793,1.64019,0.00952889,0.00952889,0.00952889
16,653.701,1.40887,1.48848,1.55508,0.24368,0.36349,0.25332,0.14822,1.37928,1.64161,1.68175,0.00946048,0.00946048,0.00946048
17,692.607,1.41936,1.50165,1.555,0.2543,0.43489,0.26773,0.14772,1.36492,1.62175,1.66213,0.00938772,0.00938772,0.00938772
18,731.406,1.36351,1.46492,1.52901,0.40856,0.36329,0.27303,0.15887,1.34538,1.54411,1.66945,0.00931067,0.00931067,0.00931067
19,770.489,1.34288,1.41973,1.5197,0.43587,0.45627,0.27243,0.15534,1.30604,1.51879,1.59485,0.00922942,0.00922942,0.00922942
20,809.705,1.31752,1.35832,1.48686,0.23868,0.4128,0.28058,0.16024,1.38259,1.57592,1.63211,0.00914405,0.00914405,0.00914405
21,849.048,1.35194,1.39568,1.49692,0.62699,0.37295,0.27876,0.16796,1.32353,1.5626,1.62392,0.00905463,0.00905463,0.00905463
22,888.024,1.32731,1.35351,1.48186,0.24116,0.42783,0.2833,0.17104,1.27072,1.53239,1.5782,0.00896127,0.00896127,0.00896127
23,927.105,1.31013,1.34354,1.47996,0.49209,0.44479,0.29878,0.17941,1.27192,1.4847,1.56512,0.00886404,0.00886404,0.00886404
24,966.332,1.27994,1.31861,1.46432,0.46714,0.4508,0.27557,0.16498,1.34754,1.51618,1.64774,0.00876305,0.00876305,0.00876305
25,1005.61,1.31038,1.34182,1.47343,0.47664,0.48327,0.30491,0.17904,1.24408,1.49834,1.53986,0.00865839,0.00865839,0.00865839
26,1044.62,1.26258,1.29099,1.43634,0.45212,0.51865,0.30046,0.17805,1.24189,1.47553,1.56652,0.00855018,0.00855018,0.00855018
27,1083.79,1.24742,1.25736,1.43544,0.4967,0.42289,0.29252,0.178,1.27115,1.40404,1.57734,0.00843851,0.00843851,0.00843851
28,1123.08,1.26167,1.28863,1.45518,0.47957,0.50219,0.3169,0.18601,1.28392,1.45933,1.60042,0.00832349,0.00832349,0.00832349
29,1162.48,1.25781,1.28349,1.45054,0.47449,0.49057,0.29889,0.1872,1.23911,1.35769,1.55721,0.00820525,0.00820525,0.00820525
30,1201.66,1.21707,1.25422,1.41386,0.51402,0.50172,0.32327,0.19213,1.23726,1.432,1.52342,0.00808389,0.00808389,0.00808389
31,1241.1,1.24752,1.30783,1.42691,0.47793,0.47456,0.3053,0.18692,1.21292,1.39687,1.52923,0.00795954,0.00795954,0.00795954
32,1280.52,1.23049,1.26128,1.4278,0.47392,0.4644,0.30187,0.18899,1.21539,1.36237,1.5295,0.00783231,0.00783231,0.00783231
33,1320.02,1.21669,1.23242,1.4217,0.50594,0.462,0.31497,0.19174,1.1824,1.50472,1.46709,0.00770234,0.00770234,0.00770234
34,1359.18,1.17958,1.20705,1.39181,0.48899,0.47703,0.30266,0.19223,1.17767,1.33382,1.4468,0.00756976,0.00756976,0.00756976
35,1398.44,1.19359,1.18277,1.38988,0.48541,0.48286,0.30845,0.19643,1.17641,1.38654,1.45516,0.00743468,0.00743468,0.00743468
36,1437.62,1.16731,1.17752,1.38116,0.51849,0.47401,0.31641,0.19773,1.19469,1.37284,1.47898,0.00729725,0.00729725,0.00729725
37,1476.97,1.15933,1.181,1.3771,0.46583,0.50034,0.35809,0.19944,1.21727,1.4051,1.48697,0.00715761,0.00715761,0.00715761
38,1516,1.17072,1.16344,1.37378,0.47884,0.51495,0.31389,0.19846,1.16376,1.34266,1.46109,0.00701588,0.00701588,0.00701588
39,1554.96,1.15324,1.1468,1.37105,0.53138,0.44435,0.31003,0.19574,1.15663,1.3059,1.45197,0.00687222,0.00687222,0.00687222
40,1594.15,1.14049,1.1403,1.35244,0.51779,0.50727,0.34016,0.20371,1.19059,1.32349,1.46466,0.00672675,0.00672675,0.00672675
41,1633.74,1.14646,1.15557,1.36827,0.48419,0.51111,0.33047,0.20241,1.16031,1.29627,1.44384,0.00657963,0.00657963,0.00657963
42,1673.34,1.1255,1.12001,1.34883,0.48732,0.49573,0.30679,0.19109,1.1366,1.31393,1.43565,0.00643101,0.00643101,0.00643101
43,1712.78,1.11679,1.12373,1.34707,0.50782,0.50845,0.32463,0.21292,1.13892,1.34349,1.42556,0.00628101,0.00628101,0.00628101
44,1754.18,1.1228,1.11594,1.34563,0.52242,0.48345,0.35371,0.19599,1.19891,1.36938,1.4959,0.00612981,0.00612981,0.00612981
45,1800.83,1.12781,1.11405,1.34601,0.50783,0.50596,0.36188,0.21167,1.10855,1.27373,1.39993,0.00597754,0.00597754,0.00597754
46,1846.51,1.10967,1.09835,1.33707,0.53107,0.48885,0.33671,0.21071,1.13379,1.30554,1.43962,0.00582435,0.00582435,0.00582435
47,1885.77,1.09737,1.09033,1.32007,0.51757,0.5067,0.33248,0.21258,1.12355,1.26824,1.39962,0.0056704,0.0056704,0.0056704
48,1925.65,1.07493,1.07956,1.31695,0.46645,0.45034,0.3196,0.2061,1.12836,1.33788,1.41325,0.00551584,0.00551584,0.00551584
49,1964.89,1.0855,1.08398,1.30936,0.50171,0.51595,0.33804,0.21123,1.12185,1.27304,1.41236,0.00536081,0.00536081,0.00536081
50,2001.95,1.05209,1.03442,1.29915,0.52111,0.49979,0.33654,0.22073,1.11516,1.27287,1.40645,0.00520548,0.00520548,0.00520548
51,2039.4,1.03257,1.00604,1.27814,0.52389,0.50083,0.35113,0.21777,1.15336,1.25627,1.46422,0.00505,0.00505,0.00505
52,2076.53,1.04521,1.0417,1.29382,0.51694,0.47916,0.33188,0.2138,1.08813,1.24893,1.39482,0.00489452,0.00489452,0.00489452
53,2113.13,1.03303,1.02636,1.26861,0.51962,0.5,0.3491,0.21997,1.11529,1.28434,1.40843,0.00473919,0.00473919,0.00473919
54,2150.13,1.03002,1.01642,1.28527,0.50988,0.49953,0.32852,0.21157,1.06681,1.24153,1.36977,0.00458416,0.00458416,0.00458416
55,2186.95,1.03552,1.02051,1.28699,0.52595,0.50072,0.33225,0.21414,1.09379,1.22251,1.38492,0.0044296,0.0044296,0.0044296
56,2224.47,1.00073,1.00163,1.27073,0.5089,0.4986,0.34918,0.21878,1.07707,1.2227,1.38313,0.00427565,0.00427565,0.00427565
57,2261.04,1.00479,0.98902,1.26648,0.50442,0.51659,0.35615,0.22288,1.08422,1.24279,1.3864,0.00412246,0.00412246,0.00412246
58,2297.69,0.98921,0.96105,1.24256,0.51102,0.50647,0.32493,0.21497,1.09443,1.17778,1.38091,0.00397019,0.00397019,0.00397019
59,2334.82,0.98869,0.9783,1.26579,0.52844,0.50742,0.33731,0.22172,1.09337,1.22079,1.39301,0.00381899,0.00381899,0.00381899
60,2371.65,0.99447,0.97772,1.25554,0.4948,0.53371,0.33093,0.22518,1.05339,1.1987,1.34206,0.00366899,0.00366899,0.00366899
61,2408.55,0.98242,0.9888,1.24534,0.52515,0.48297,0.37919,0.23784,1.06303,1.21633,1.37093,0.00352037,0.00352037,0.00352037
62,2445.64,0.98701,0.98671,1.25241,0.49619,0.49998,0.32261,0.21477,1.0549,1.26642,1.34304,0.00337325,0.00337325,0.00337325
63,2491.16,0.9724,0.96355,1.25543,0.52812,0.50069,0.34564,0.23031,1.0597,1.16182,1.36658,0.00322778,0.00322778,0.00322778
64,2531.32,0.94824,0.92333,1.22912,0.52762,0.50333,0.34198,0.2313,1.04753,1.20767,1.36395,0.00308412,0.00308412,0.00308412
65,2571.34,0.93098,0.92666,1.22121,0.50734,0.52413,0.32373,0.21663,1.06202,1.1883,1.38346,0.00294239,0.00294239,0.00294239
66,2619.22,0.95,0.93974,1.23481,0.52084,0.49258,0.3391,0.22051,1.08091,1.174,1.38403,0.00280275,0.00280275,0.00280275
67,2665.09,0.94028,0.93098,1.21497,0.27014,0.55204,0.36,0.22656,1.0907,1.17765,1.39827,0.00266532,0.00266532,0.00266532
68,2708.9,0.9431,0.92401,1.22197,0.29286,0.52153,0.34057,0.22433,1.0669,1.20619,1.36737,0.00253024,0.00253024,0.00253024
69,2752.08,0.9416,0.94052,1.22793,0.52729,0.50418,0.33604,0.22779,1.04856,1.18465,1.35447,0.00239766,0.00239766,0.00239766
70,2799.24,0.90454,0.89698,1.21368,0.5449,0.50657,0.33803,0.22665,1.03864,1.1699,1.34249,0.00226769,0.00226769,0.00226769
71,2839.1,0.89896,0.90933,1.20057,0.52802,0.49535,0.33807,0.22485,1.04585,1.16582,1.35493,0.00214046,0.00214046,0.00214046
72,2880.47,0.89646,0.88672,1.19536,0.53284,0.48871,0.34614,0.23072,1.04553,1.1953,1.3464,0.00201611,0.00201611,0.00201611
73,2923.24,0.89064,0.91438,1.20278,0.31702,0.51795,0.35038,0.23748,1.03368,1.146,1.33603,0.00189475,0.00189475,0.00189475
74,2964.74,0.88043,0.87895,1.19381,0.52326,0.51477,0.35626,0.23592,1.02852,1.17919,1.33804,0.00177651,0.00177651,0.00177651
75,3004.39,0.89386,0.9083,1.20046,0.5341,0.50999,0.33777,0.22973,1.04111,1.18043,1.35215,0.00166149,0.00166149,0.00166149
76,3046.61,0.87547,0.88263,1.18926,0.51999,0.50141,0.34597,0.23079,1.05371,1.15023,1.35132,0.00154982,0.00154982,0.00154982
77,3094.57,0.88126,0.88088,1.19867,0.53987,0.49515,0.34293,0.23117,1.02533,1.13966,1.32988,0.00144161,0.00144161,0.00144161
78,3147.05,0.8593,0.86133,1.1726,0.33455,0.51459,0.35001,0.23112,1.03469,1.14878,1.34465,0.00133695,0.00133695,0.00133695
79,3195.15,0.8688,0.8816,1.17955,0.49894,0.54954,0.35487,0.23766,1.01601,1.13628,1.33095,0.00123596,0.00123596,0.00123596
80,3243,0.85023,0.8513,1.16977,0.53755,0.50279,0.34383,0.23283,1.04585,1.14573,1.35588,0.00113873,0.00113873,0.00113873
81,3287.47,0.83393,0.85318,1.16301,0.52989,0.50451,0.38619,0.25911,1.025,1.16174,1.33263,0.00104537,0.00104537,0.00104537
82,3331.79,0.84966,0.86522,1.16978,0.32328,0.63771,0.36261,0.23127,1.02134,1.1573,1.33307,0.000955951,0.000955951,0.000955951
83,3377.42,0.8394,0.83219,1.16773,0.28434,0.58789,0.35181,0.23102,1.02161,1.1676,1.33547,0.000870577,0.000870577,0.000870577
84,3422.95,0.83279,0.83956,1.1558,0.51465,0.51419,0.3337,0.22688,1.00501,1.15572,1.31798,0.000789327,0.000789327,0.000789327
85,3468.76,0.83199,0.83637,1.16116,0.5229,0.5056,0.34121,0.23259,1.02123,1.15539,1.33052,0.000712282,0.000712282,0.000712282
